player_name,season,height_inches,weight,forty,bench,vertical,broad_jump,cone,shuttle,bmi,size_score,speed_score,burst_score,agility_score,pos,pos_group,conf_tier,is_skill,is_blue_blood,is_sec,age_at_draft,era,draft_ovr,draft_round,is_first_round,is_drafted
John Abraham,2000,76.0,252.0,4.55,,,,,,30.67105263157895,19152.0,117.59394219706522,,,OLB,Edge,Power Five,0,0,1,22.0,2000-2005,13.0,1,1,1
Shaun Alexander,2000,72.0,218.0,4.58,,,,,,29.562885802469136,15696.0,99.08880188646431,,,RB,Skill,Power Five,1,1,1,23.0,2000-2005,19.0,1,1,1
Darnell Alford,2000,76.0,334.0,5.56,23.0,25.0,94.0,8.48,4.98,40.651315789473685,25384.0,69.9000193787298,32.833333333333336,13.46,OT,OL,FCS/Other,0,0,0,23.0,2000-2005,188.0,6,0,1
Kyle Allamon,2000,74.0,253.0,4.97,,29.0,104.0,7.29,4.49,32.479729729729726,18722.0,82.93253905512017,37.666666666666664,11.780000000000001,TE,Skill,Power Five,1,0,0,,2000-2005,,8,0,0
Rashard Anderson,2000,74.0,206.0,4.55,,34.0,123.0,7.18,4.15,26.445945945945947,15244.0,96.12838131982316,44.25,11.33,CB,DB,FCS/Other,0,0,0,23.0,2000-2005,23.0,1,1,1
Jake Arians,2000,70.0,202.0,,,,,,,28.980816326530615,14140.0,,,,K,ST,FCS/Other,0,0,0,,2000-2005,,8,0,0
LaVar Arrington,2000,75.0,250.0,4.53,,,,,,31.244444444444447,18750.0,118.73457341960194,,,OLB,Edge,Power Five,0,1,0,22.0,2000-2005,2.0,1,1,1
Corey Atkins,2000,72.0,237.0,4.72,21.0,31.0,112.0,7.96,4.39,32.139467592592595,17064.0,95.5015339148516,40.333333333333336,12.35,OLB,Edge,Power Five,0,0,1,,2000-2005,,8,0,0
Kyle Atteberry,2000,72.0,167.0,,,,,,,22.64679783950617,12024.0,,,,K,ST,Power Five,0,0,0,,2000-2005,,8,0,0
Reggie Austin,2000,69.0,175.0,4.44,17.0,35.0,119.0,7.03,4.14,25.84015963032976,12075.0,90.06087537138671,44.916666666666664,11.17,CB,DB,Power Five,0,0,0,23.0,2000-2005,125.0,4,0,1
John Baker,2000,75.0,227.0,,,,,,,28.369955555555556,17025.0,,,,P,ST,Group of Five,0,0,0,,2000-2005,,8,0,0
Mark Baniewicz,2000,78.0,312.0,5.34,20.0,28.0,96.0,7.72,4.73,36.05128205128205,24336.0,76.73960537709858,36.0,12.45,OT,OL,Power Five,0,0,0,,2000-2005,247.0,7,0,1
Rashidi Barnes,2000,72.0,208.0,4.62,10.0,35.0,114.0,6.92,4.32,28.206790123456788,14976.0,91.31148975731222,44.5,11.24,S,DB,Power Five,0,0,0,22.0,2000-2005,225.0,7,0,1
David Barrett,2000,70.0,199.0,4.44,16.0,37.5,116.0,6.81,4.04,28.550408163265306,13930.0,102.41208113660547,47.166666666666664,10.85,CB,DB,Power Five,0,0,1,22.0,2000-2005,102.0,4,0,1
William Bartee,2000,73.0,192.0,4.43,,38.5,124.0,6.7,3.99,25.328579470820042,14016.0,99.70485803872485,48.833333333333336,10.690000000000001,CB,DB,Power Five,0,1,0,23.0,2000-2005,54.0,2,0,1
